description,costPrice,salePrice,quantity,idProveedor,code,size,activo
ranita calada - rosa,2500.0,5000.0,1,1,ranita calada - rosa-2500-5000-6M-1,6M,0
calza bambi - rosa bebe,3000.0,6000.0,1,1,0400740010006M,6M,0
calza ardilla - rosa bebe,3000.0,6000.0,1,1,0400350010006M,6M,0
calza ardilla - beige,3000.0,6000.0,1,1,0400350042006M,6M,0
"ranita vaquita - celeste ",2500.0,5000.0,2,1,3931-CEL-6M,6M,0
ranita rayitas - rosa,3000.0,6000.0,1,1,3932-ROS-6M,6M,0
"pantalon milena - mostaza ",3000.0,6000.0,1,1,0434860086006M,6M,0
"pantalon liso - ladrillo ",2500.0,5000.0,1,1,pantalon liso - ladrillo -2500-5000-6M-1,6M,0
calza bambi - crudo,3000.0,6000.0,1,1,0400740070006M,6M,0
pantalon floreado corderoy,2500.0,5000.0,1,1,pantalon floreado corderoy-2500-5000-6M-1,6M,0
"pantalon plush liso - blanco ",2500.0,5000.0,2,1,pantalon plush liso - blanco -2500-5000-6M-2,6M,1
calza lupe - lila,3000.0,6000.0,1,1,calza lupe - lila-3000-6000-6M-1,6M,0
"ranita eliana - crudo ",3000.0,6000.0,1,1,ranita eliana - crudo -3000-6000-6M-1,6M,0
"pantalón leonel - gris melange ",2700.0,5200.0,1,1,0414630190006M,6M,0
pantalon dinosaurio - crudo,3000.0,6000.0,1,1,pantalon dinosaurio - crudo-3000-6000-6M-1,6M,0
pantalon liso - gris melange,2500.0,5000.0,1,1,pantalon liso - gris melange-2500-5000-6M-1,6M,0
"pantalon lanilla - verde ",2500.0,5000.0,1,1,pantalon lanilla - verde -2500-5000-6M-1,6M,0
pantalon corderoy - bordo,3500.0,7000.0,1,1,pantalon corderoy - bordo-3500-7000-6M-1,6M,0
pantalon salos - verde,2500.0,5000.0,1,1,pantalon salos - verde-2500-5000-6M-1,6M,0
pantalon lanilla - gris,2500.0,5000.0,1,1,pantalon lanilla - gris-2500-5000-6M-1,6M,0
pantalon lanilla - marron,2500.0,5000.0,1,1,pantalon lanilla - marron-2500-5000-6M-1,6M,0
calza mon amour - mugat,2500.0,5000.0,1,1,0497070018006M,6M,0
"baiker floreado volados - blanco ",2500.0,5000.0,1,1,baiker floreado volados - blanco -2500-5000-6M-1,6M,0
baiker puntilla - blanco,2500.0,5000.0,1,1,baiker puntilla - blanco-2500-5000-6M-1,6M,0
baiker puntilla - rosa,2500.0,5000.0,1,1,baiker puntilla - rosa-2500-5000-6M-1,6M,0
baiker morley - rosa,2000.0,4000.0,1,1,baiker morley - rosa-2000-4000-6M-1,6M,0
short pedro,2500.0,5000.0,1,1,0779320042006M,6M,0
bermuda matias - rojo,3000.0,6000.0,1,1,0716110150006M,6M,0
short letras salos - marino,2000.0,4200.0,1,1,short letras salos - marino-2000-4200-6M-1,6M,0
short gris salos,2000.0,4200.0,1,1,short gris salos-2000-4200-6M-1,6M,0
shorsito minianima - verde,2500.0,5000.0,1,1,shorsito minianima - verde-2500-5000-6M-1,6M,0
ranita floreada - celeste,3000.0,6000.0,1,1,ranita floreada - celeste-3000-6000-6M-1,6M,0
"calza volados - mostaza ",3000.0,6000.0,1,1,calza volados - mostaza -3000-6000-6M-1,6M,0
pantalon lino - coral,3000.0,6000.0,1,1,pantalon lino - coral-3000-6000-6M-1,6M,0
calza moño - rosa,3000.0,6000.0,1,1,calza moño - rosa-3000-6000-6M-1,6M,0
calza volado - nude,3000.0,6000.0,1,1,calza volado - nude-3000-6000-6M-1,6M,0
calza volado - rosa bebe,3000.0,6000.0,1,1,calza volado - rosa bebe-3000-6000-6M-1,6M,0
"calza volado - blanco ",3000.0,6000.0,1,1,calza volado - blanco -3000-6000-6M-1,6M,0
pantalon lanilla - negro,2500.0,5000.0,1,1,pantalon lanilla - negro-2500-5000-6M-1,6M,0
"ranita de plush - blanco ",2500.0,5000.0,1,1,2717-BL-6M,6M,0
"pantalon estrella - beige ",4000.0,8000.0,1,1,0404600042006M,6M,0
"pantalon plush liso - blanco ",2500.0,5000.0,2,1,pantalon plush liso - blanco -2500-5000-6M-2,6M,0
ranita plush lisa - crudo,2500.0,5000.0,1,1,ranita plush lisa - crudo-2500-5000-6M-1,6M,0
"pantalon floreado plush - crudo ",3000.0,6000.0,1,1,pantalon floreado plush - crudo -3000-6000-6M-1,6M,0
ranita rayita plush - gris,3000.0,6000.0,1,1,ranita rayita plush - gris-3000-6000-6M-1,6M,0
"pantalos puntilla bolsillo - rosa ",3000.0,6000.0,1,1,pantalos puntilla bolsillo - rosa -3000-6000-6M-1,6M,0
buzo conejita - rosa bebe,3500.0,7000.0,1,1,buzo conejita - rosa bebe-3500-7000-9M-1,9M,0
buzo mara - mostaza,3500.0,7000.0,1,1,buzo mara - mostaza-3500-7000-9M-1,9M,0
buzo animalitos - celeste,3500.0,7000.0,1,1,buzo animalitos - celeste-3500-7000-9M-1,9M,0
"conjunto otto - ladrillo ",3500.0,7000.0,1,1,0604800143018M,9M,0
campera  felipe - verde,3000.0,6000.0,1,1,campera  felipe - verde-3000-6000-9M-1,9M,0
buzo aleta tiburón - azul,3000.0,6000.0,1,1,buzo aleta tiburón - azul-3000-6000-9M-1,9M,0
campera lisa - gris,3000.0,6000.0,1,1,campera lisa - gris-3000-6000-9M-1,9M,0
"campera dino lanilla - negro ",3500.0,7000.0,1,1,campera dino lanilla - negro -3500-7000-9M-1,9M,0
saquito waffle - arena,2500.0,5000.0,2,1,saquito waffle - arena-2500-5000-9M-2,9M,1
saquito waffle - arena,2500.0,5000.0,2,1,0512320128009M,9M,0
campera tomiko - manteca,3000.0,6000.0,1,1,campera tomiko - manteca-3000-6000-9M-1,9M,0
"buzo mara - caramelo ",3000.0,6000.0,1,1,buzo mara - caramelo -3000-6000-9M-1,9M,0
buzo antonia - rosa,3000.0,6000.0,0,1,buzo antonia - rosa-3000-6000-9M-1,9M,0
"buzo camilo - celeste ",3000.0,6000.0,1,1,0500910120009M,9M,0
"campera oso y punitos - blanco ",2500.0,5000.0,1,1,campera oso y punitos - blanco -2500-5000-9M-1,9M,0
"campera bear - beige ",3500.0,7000.0,1,1,0543080042012M,9M,0
body india - rosa viejo,3000.0,6000.0,1,1,0073480111009M,9M,0
body india - crudo,3000.0,6000.0,1,1,0073480170009M,9M,0
"body erizo baby - blanco ",2500.0,5000.0,1,1,0045011900009M,9M,0
body durazno - rosa viejo,2500.0,5000.0,1,1,0082260111009M,9M,0
body erizo baby - beige,2500.0,5000.0,1,1,0045011942009M,9M,0
body bernarda - rojo,2500.0,5000.0,1,1,0038000150009M,9M,0
"body Ismael m/C - azul ",2500.0,5500.0,1,1,0059010019009M,9M,0
body martin - marino,2500.0,5000.0,1,1,0080500125009M,9M,0
"body puntilla hombros - rosa ",2500.0,5000.0,1,1,body puntilla hombros - rosa -2500-5000-9M-1,9M,0
body ballet - rosa,3000.0,6000.0,1,1,body ballet - rosa-3000-6000-9M-1,9M,0
"body ballet - blanco ",3000.0,6000.0,1,1,body ballet - blanco -3000-6000-9M-1,9M,0
"body vintage ",2500.0,5000.0,1,1,body vintage -2500-5000-9M-1,9M,0
body lady - rosa,2500.0,5000.0,1,1,body lady - rosa-2500-5000-9M-1,9M,0
"body india  - tostado ",3000.0,6000.0,1,1,0073480127009M,9M,0
"body bear - blanco ",3000.0,6000.0,1,1,0060012200009M,9M,0
"body gino - azul ",3000.0,6000.0,1,1,0063390019009M,9M,0
"body blanca  - blanco ",3000.0,6000.0,0,1,0039010100009M,9M,0
"body eliana - blanco ",3000.0,6000.0,1,1,0245320100009M,9M,0
body chomba matias - marino,3500.0,7000.0,1,1,0051000125009M,9M,0
body plush puntilla - rosa,3500.0,7000.0,1,1,body plush puntilla - rosa-3500-7000-9M-1,9M,0
remera conejito - rosa,3000.0,6000.0,1,1,remera conejito - rosa-3000-6000-9M-1,9M,0
remera conejito - rosa bebe,3000.0,6000.0,1,1,remera conejito - rosa bebe-3000-6000-9M-1,9M,0
body puntilla cuello - rosa bebe,3000.0,6000.0,1,1,body puntilla cuello - rosa bebe-3000-6000-9M-1,9M,0
body clementina - rosa,3000.0,6000.0,1,1,body clementina - rosa-3000-6000-9M-1,9M,0
"body clementina - rosa ",3000.0,6000.0,0,1,body clementina - rosa -3000-6000-9M-1,9M,0
"body camioncitos - verde ",2500.0,5000.0,1,1,body camioncitos - verde -2500-5000-9M-1,9M,0
"body avioncitos y autito - blanco ",2500.0,5000.0,1,1,body avioncitos y autito - blanco -2500-5000-9M-1,9M,0
"body ismael - marino ",3000.0,6000.0,1,1,body ismael - marino -3000-6000-9M-1,9M,0
body Ismael - crudo,3000.0,6000.0,1,1,0054010170009M,9M,1
body Ismael - gris melange,3000.0,6000.0,1,1,body Ismael - gris melange-3000-6000-9M-1,9M,0
body Ismael - crudo,3000.0,6000.0,1,1,0054010170009M,9M,0
"body bombachudo tomiko - blanco ",3000.0,6000.0,1,1,body bombachudo tomiko - blanco -3000-6000-9M-1,9M,0
remera angelito - crudo,3000.0,6000.0,1,1,remera angelito - crudo-3000-6000-9M-1,9M,0
remera pajaritos - blanco,2500.0,5000.0,4,1,remera pajaritos - blanco-2500-5000-9M-4,9M,0
"body pajarito - blanco ",2500.0,5000.0,1,1,body pajarito - blanco -2500-5000-9M-1,9M,1
"body pajarito - blanco ",2500.0,5000.0,1,1,body pajarito - blanco -2500-5000-9M-1,9M,0
body ardilla y flores - rosa,2500.0,5000.0,1,1,body ardilla y flores - rosa-2500-5000-9M-1,9M,0
body animalitos racoon - rosa,2500.0,5000.0,1,1,body animalitos racoon - rosa-2500-5000-9M-1,9M,0
body encaje - rosa,2500.0,5000.0,1,1,body encaje - rosa-2500-5000-9M-1,9M,0
body lady cuello encaje - crudo,2500.0,5000.0,1,1,body lady cuello encaje - crudo-2500-5000-9M-1,9M,0
"body new odisea - rosa ",2500.0,5000.0,1,1,body new odisea - rosa -2500-5000-9M-1,9M,0
pantalon leonel - marino,2800.0,5300.0,1,1,0414630125009M,9M,0
pantalon puntilla botamanga - rosa,3000.0,6000.0,1,1,pantalon puntilla botamanga - rosa-3000-6000-9M-1,9M,0
calza mon amour - melange,2500.0,5000.0,1,1,0497070090009M,9M,0
calza mon amour - mugat,2500.0,5000.0,1,1,0497070018009M,9M,0
"ranita pajaritos - blanco ",2500.0,5000.0,1,1,ranita pajaritos - blanco -2500-5000-9M-1,9M,1
"ranita pajaritos - blanco ",2500.0,5000.0,1,1,ranita pajaritos - blanco -2500-5000-9M-1,9M,0
pantalon morley - verde,2500.0,5000.0,1,1,pantalon morley - verde-2500-5000-9M-1,9M,0
pantalon pequeño amor - negro,2500.0,5000.0,1,1,pantalon pequeño amor - negro-2500-5000-9M-1,9M,1
"pantalon calado - blanco ",2500.0,5000.0,1,1,pantalon calado - blanco -2500-5000-9M-1,9M,0
calza volados - negro,3000.0,6000.0,1,1,calza volados - negro-3000-6000-9M-1,9M,0
calza pubtilla costado - rosa,3000.0,6000.0,1,1,calza pubtilla costado - rosa-3000-6000-9M-1,9M,0
"calza volados - chocolate ",3000.0,6000.0,1,1,calza volados - chocolate -3000-6000-9M-1,9M,0
"calza moño - crudo ",3000.0,6000.0,1,1,calza moño - crudo -3000-6000-9M-1,9M,0
calza moños - blanco,3000.0,6000.0,1,1,calza moños - blanco-3000-6000-9M-1,9M,0
"pantalon lino - coral ",2500.0,5000.0,1,1,pantalon lino - coral -2500-5000-9M-1,9M,0
calza ardilla - beige,3000.0,6000.0,1,1,0400350042009M,9M,0
calza ardilla - rosa bebe,3000.0,6000.0,1,1,0400350010009M,9M,0
"short voladito bolsillo - rosa ",2500.0,5000.0,1,1,short voladito bolsillo - rosa -2500-5000-9M-1,9M,0
baiker puntilla - negro,2500.0,5000.0,1,1,baiker puntilla - negro-2500-5000-9M-1,9M,0
"baiker con puntilla - blanco ",2500.0,5000.0,1,1,baiker con puntilla - blanco -2500-5000-9M-1,9M,0
baiker con puntilla,2500.0,5000.0,1,1,baiker con puntilla-2500-5000-9M-1,9M,0
"ranita  motos - blanco ",2500.0,5000.0,1,1,ranita  motos - blanco -2500-5000-9M-1,9M,0
"calza moño - chocolate ",3000.0,6000.0,1,1,calza moño - chocolate -3000-6000-9M-1,9M,0
calza volados - rosa,3000.0,6000.0,1,1,calza volados - rosa-3000-6000-9M-1,9M,0
"calza bambi - rosa ",3000.0,6000.0,1,1,0400740010009M,9M,1
calza lana pequeña amor,3000.0,6000.0,1,1,calza lana pequeña amor-3000-6000-9M-1,9M,0
pantalón pequeño amor - gris,2500.0,5000.0,1,1,pantalón pequeño amor - gris-2500-5000-9M-1,9M,0
calza lana pequeño amor - gris,3000.0,6000.0,1,1,calza lana pequeño amor - gris-3000-6000-9M-1,9M,0
pantalon pequeño amor - negro,2500.0,5000.0,1,1,pantalon pequeño amor - negro-2500-5000-9M-1,9M,0
calza lupe - rosa,3000.0,6000.0,1,1,calza lupe - rosa-3000-6000-9M-1,9M,0
"pantalon plush liso - celeste ",2500.0,5000.0,1,1,pantalon plush liso - celeste -2500-5000-9M-1,9M,0
calza lupe - lila,3000.0,6000.0,1,1,calza lupe - lila-3000-6000-9M-1,9M,0
calza pipa - bordo,3000.0,6000.0,1,1,calza pipa - bordo-3000-6000-9M-1,9M,0
calza bambi - rosa bebe,3000.0,6000.0,1,1,0400740010009M,9M,0
calza lana pequeño amor - negro,3000.0,6000.0,1,1,calza lana pequeño amor - negro-3000-6000-9M-1,9M,0
campera forest - azul,5300.0,10300.0,1,1,0541230019012M,12M,0
campera tomiko - bordo,3000.0,6000.0,1,1,campera tomiko - bordo-2700-5200-12M-1,12M,0
buzo antonia - rosa bebe,3000.0,6000.0,1,1,buzo antonia - rosa bebe-3000-6000-12M-1,12M,0
saquito nina brillo - crudo,2500.0,5000.0,1,1,saquito nina brillo - crudo-2500-5000-12M-1,12M,0
campera tejida I.M. - bordo,4000.0,8000.0,1,1,campera tejida I.M. - bordo-4000-8000-12M-1,12M,0
body moon - blanco,2500.0,5000.0,1,1,0055070100012M,12M,0
body moon - gris melange,2500.0,5300.0,1,1,0055070190012M,12M,0
body paloma - rosa viejo,3000.0,6000.0,1,1,0074011111012M,12M,0
"body paloma - marino ",3000.0,6000.0,1,1,0074011125012M,12M,0
body chomba matias - marino,3500.0,7000.0,1,1,0051000125012M,12M,0
"body bear - blanco ",3000.0,6000.0,1,1,0060012200012M,12M,0
body blanca - rosa bebe,3000.0,6000.0,1,1,0039010110012M,12M,0
"body gino - azul ",3000.0,6000.0,1,1,0063390019012M,12M,0
body eliana - rosa,3000.0,6000.0,1,1,0245320110012M,12M,0
body ismael M/L - marino,3000.0,6000.0,1,1,0054010125012M,12M,0
body Ismael m/L - crudo,3000.0,6000.0,1,1,0054010170012M,12M,0
"body chomba matias - blanco ",3500.0,7000.0,1,1,0051000100012M,12M,0
body termico - marino,3500.0,7000.0,1,1,0028860125012M,12M,0
chomba matias - azul,3500.0,7000.0,1,1,0830000119012M,12M,0
musculosa long beach - gris melange,2500.0,6000.0,1,1,0831016790012M,12M,0
remera ride - verde,3000.0,6000.0,1,1,0806016831012M,12M,0
remera dino - gris melange,3000.0,6000.0,1,1,remera dino - gris melange-3000-6000-12M-1,12M,0
"remera flores coral tomiko - blanco ",2500.0,5000.0,1,1,remera flores coral tomiko - blanco -2500-5000-12M-1,12M,0
body conejo - rosa,2000.0,4000.0,1,1,body conejo - rosa-2000-4000-12M-1,12M,0
"body pajarito - blanco ",2500.0,5000.0,1,1,body pajarito - blanco -2500-5000-12M-1,12M,0
body floreada fuccia - blanco,3000.0,6000.0,1,1,body floreada fuccia - blanco-3000-6000-12M-1,12M,0
body conejitos y hongos,2500.0,5000.0,1,1,body conejitos y hongos-2500-5000-12M-1,12M,0
body animalitos tomiko - rosa,2500.0,5000.0,1,1,body animalitos tomiko - rosa-2500-5000-12M-1,12M,0
body ratoncito bailarina - blanca,2500.0,5000.0,1,1,body ratoncito bailarina - blanca-2500-5000-12M-1,12M,0
"body vintage - bordo ",2500.0,5000.0,1,1,body vintage - bordo -2500-5000-12M-1,12M,0
"body bombachudo - blanco ",3000.0,5500.0,1,1,body bombachudo - blanco -3000-5500-12M-1,12M,0
remera jirafa - blanca,2500.0,5000.0,1,1,remera jirafa - blanca-2500-5000-12M-1,12M,0
"body new odisea - blanco ",2500.0,5000.0,1,1,body new odisea - blanco -2500-5000-12M-1,12M,0
body ismael - crudo,3000.0,6000.0,1,1,0073480170012M,12M,0
body ismael - tostado,3000.0,6000.0,1,1,0073480127012M,12M,0
body ismael - rosa viejo,3000.0,6000.0,1,1,0073480111012M,12M,0
body erizo baby - beige,2500.0,5000.0,1,1,0045011942012M,12M,0
"body erizo baby - blanco ",2500.0,5000.0,1,1,0045011900012M,12M,0
body durazno - durazno,2500.0,5000.0,1,1,0082260139012M,12M,0
remera leysa - lila,2500.0,5000.0,1,1,0814780162012M,12M,0
"remera gretel - blanca ",2500.0,5000.0,1,1,0801015200012M,12M,0
"remera leysa - amarillo ",2500.0,5000.0,1,1,0814780137012M,12M,0
remera bernarda - rojo,2500.0,5000.0,1,1,0844000150012M,12M,0
"body durazno - rosa viejo ",2500.0,5000.0,1,1,0082260111012M,12M,0
body bernarda - rojo,2500.0,5000.0,1,1,0038000150012M,12M,0
remera m/C lisa - rojo,2000.0,4000.0,1,1,remera m/C lisa - rojo-2000-4000-12M-1,12M,0
pantalon leonel - gris melange,2700.0,5300.0,1,1,0414630190012M,12M,0
pantalon felipe - negro,2500.0,5000.0,1,1,pantalon felipe - negro-2500-5000-12M-1,12M,0
calza ardilla - beige,3000.0,6000.0,1,1,0400350042012M,12M,0
calza ardilla - rosa bebe,3000.0,6000.0,1,1,0400350010012M,12M,0
"calza bambi - crudo ",3000.0,6000.0,1,1,0400740070012M,12M,0
pantalon faro corderoy - celeste,2000.0,4000.0,1,1,pantalon faro corderoy - celeste-2000-4000-12M-1,12M,0
"short olivia - rosa viejo ",2500.0,5000.0,1,1,0710010111012M,12M,0
short animalitos - naranja,2000.0,4000.0,1,1,short animalitos - naranja-2000-4000-12M-1,12M,0
short pedro - mostaza,2500.0,5000.0,1,1,0779320086009M,12M,1
"short Pedro - mostaza ",2500.0,5000.0,1,1,0779320086009M,9M,0
"short pedro - habano ",2500.0,5000.0,1,1,0779320024009M,9M,0
"baiker puntilla - blanco ",2500.0,5000.0,1,1,baiker puntilla - blanco -2500-5000-12M-1,12M,0
"short pedro - mostaza ",2500.0,5000.0,1,1,0779320086012M,12M,0
baiker puntilla - rosa bebe,2500.0,5000.0,0,1,baiker puntilla - rosa bebe-2500-5000-12M-1,12M,0
"short liso - blanco ",3000.0,6000.0,1,1,short liso - blanco -3000-6000-12M-1,12M,0
"short florcitas - blanco ",3000.0,6000.0,1,1,short florcitas - blanco -3000-6000-12M-1,12M,0
"short Pedro ",2500.0,5000.0,1,1,0779320024012M,12M,0
pantalon milena - verde,3500.0,7000.0,1,1,0434860031012M,12M,0
"pantalon puntilla abajo - rosa ",3000.0,6000.0,1,1,pantalon puntilla abajo - rosa -3000-6000-12M-1,12M,0
"pantalon lino - coral ",3000.0,6000.0,1,1,pantalon lino - coral -3000-6000-12M-1,12M,0
"calza volados - negro ",3000.0,6000.0,1,1,calza volados - negro -3000-6000-12M-1,12M,0
calza moño - blanco,3000.0,6000.0,1,1,calza moño - blanco-3000-6000-12M-1,12M,0
"calza volado - blanco ",3000.0,6000.0,1,1,calza volado - blanco -3000-6000-12M-1,12M,0
"calza volado- chocolate ",3000.0,6000.0,0,1,calza volado- chocolate -3000-6000-12M-1,12M,0
pantalon morley - rosa,3000.0,6000.0,1,1,pantalon morley - rosa-3000-6000-12M-1,12M,0
"pantalon morley - blanco ",3000.0,6000.0,1,1,pantalon morley - blanco -3000-6000-12M-1,12M,0
"pantalon pajaritos - blanco ",2500.0,5000.0,1,1,pantalon pajaritos - blanco -2500-5000-12M-1,12M,1
"pantalon pajaritos - blanco ",2500.0,5000.0,1,1,pantalon pajaritos - blanco -2500-5000-12M-1,12M,1
"pantalon pajaritos - blanco ",2500.0,5000.0,2,1,pantalon pajaritos - blanco -2500-5000-12M-1,12M,0
calza mon amour - mugat,2500.0,5000.0,1,1,0497070018012M,12M,0
pantalon morley - gris,2500.0,5000.0,1,1,pantalon morley - gris-2500-5000-12M-1,12M,0
"pantalon calado - blanco ",2500.0,5000.0,1,1,pantalon calado - blanco -2500-5000-12M-1,12M,0
pantalon morley- rosa,2500.0,5000.0,1,1,pantalon morley- rosa-2500-5000-12M-1,12M,0
pantalon pajaritos - blanco,2500.0,5000.0,1,1,pantalon pajaritos - blanco-2500-5000-12m-1,12m,1
pantalon pajaritos - blanco,2500.0,5000.0,1,1,pantalon pajaritos - blanco-2500-5000-12m-1,12m,0
"remera lisa - blanco ",2000.0,4000.0,1,1,remera lisa - blanco -2000-4000- 12M-1," 12M",1
"remera lisa - blanco ",2000.0,4000.0,1,1,remera lisa - blanco -2000-4000-18M-1,18M,0
"remera pajaritos - blanco ",2500.0,5000.0,1,1,remera pajaritos - blanco -2500-5000-12M-1,12M,0
remera lisa - crudo,2000.0,4000.0,1,1,remera lisa - crudo-2000-4000-12M-1,12M,0
remera angelito,2500.0,5000.0,1,1,remera angelito-2500-5000-12M-1,12M,0
"body bombachudo - blanco ",3000.0,6000.0,1,1,body bombachudo - blanco -3000-6000-18M-1,18M,0
remera bernarda - rojo,2500.0,5000.0,1,1,0844000150018M,18M,0
remera leysa - rojo,2500.0,5000.0,1,1,0814780150018M,18M,0
"remera erizo baby - baige ",2500.0,5000.0,1,1,0817011942018M,18M,0
"remera gretel - blanco ",2500.0,5000.0,1,1,0801015200018M,18M,0
"remera leysa - amarillo ",2500.0,5000.0,1,1,0814780137018M,18M,0
"remera flores coral - blanco ",2500.0,5000.0,1,1,remera flores coral - blanco -2500-5000-18M-1,18M,0
remera cande - blanco,2000.0,4000.0,2,1,3784-HU-2A,18M,0
remera angelito - manteca,2500.0,5000.0,1,1,remera angelito - manteca-2500-5000-18M-1,18M,0
body cuello broderi - rosa,2500.0,5000.0,1,1,body cuello broderi - rosa-2500-5000-18M-1,18M,0
"body vintage - chocolate ",2500.0,5000.0,1,1,body vintage - chocolate -2500-5000-18M-1,18M,0
"body ballet - blanco ",3000.0,6000.0,1,1,body ballet - blanco -3000-6000-18M-1,18M,0
body new odisea - rosa,2500.0,5000.0,1,1,body new odisea - rosa-2500-5000-18M-1,18M,0
body cisne - manteca,2500.0,5000.0,1,1,body cisne - manteca-2500-5000-18M-1,18M,0
body animalitos - rosa,2500.0,5000.0,1,1,body animalitos - rosa-2500-5000-18M-1,18M,0
body ardilla - rosa,2500.0,5000.0,1,1,body ardilla - rosa-2500-5000-18M-1,18M,0
body liso - celeste,2000.0,4000.0,1,1,body liso - celeste-2000-4000-18M-1,18M,0
body chomba matias - marino,3500.0,7000.0,1,1,0051000125018M,18M,0
body blanca - rosa bebe,3000.0,6000.0,1,1,0039010110018M,18M,0
body eliana - rosa,3000.0,6000.0,1,1,0245320110018M,18M,0
body eliana - blanco,3000.0,6000.0,1,1,0245320100018M,18M,0
body ismael - marino,3000.0,6000.0,1,1,0054010125018M,18M,0
body Ismael - crudo,3000.0,6000.0,1,1,0054010170018M,18M,0
body chomba matias - blanco,3500.0,7000.0,1,1,0051000100018M,18M,0
"body blanca - blanco ",3000.0,6000.0,1,1,0039010100018M,18M,0
"remera renata - crudo ",3000.0,6000.0,1,1,0800011870018M,18M,0
remera into the wild - bordo,3000.0,6000.0,1,1,0805015453018M,18M,0
remra dinos - gris melange,3000.0,6000.0,1,1,0806016190018M,18M,0
musculosa long beach - gris,2700.0,5300.0,1,1,0831016790018M,18M,0
"remera space Explore - blanco ",3000.0,6000.0,1,1,0805017400018M,18M,0
"body panal abeja - celeste ",2000.0,4000.0,1,1,body panal abeja - celeste -2000-4000-18M-1,18M,0
"short pedro - mostaza ",2500.0,5000.0,1,1,0779320086018M,18M,0
"calza volados - chocolate ",3000.0,6000.0,1,1,calza volados - chocolate -3000-6000-18M-1,18M,0
"calza volados - blanco ",3000.0,6000.0,1,1,calza volados - blanco -3000-6000-18M-1,18M,0
"calza puntilla abajo ",3000.0,6000.0,0,1,calza puntilla abajo -3000-6000-18M-1,18M,0
calza volados - negro,3000.0,6000.0,1,1,calza volados - negro-3000-6000-18M-1,18M,0
"calza moño - chocolate ",3000.0,6000.0,1,1,calza moño - chocolate -3000-6000-18M-1,18M,0
pantalon lino - coral,2500.0,5000.0,1,1,pantalon lino - coral-2500-5000-18M-1,18M,0
"calza puntilla los costados - negro ",3000.0,6000.0,1,1,calza puntilla los costados - negro -3000-6000-18M-1,18M,0
"calza moño - blanco ",3000.0,6000.0,1,1,calza moño - blanco -3000-6000-18M-1,18M,0
calza volados - manteca,3000.0,6000.0,1,1,calza volados - manteca-3000-6000-18M-1,18M,0
calza mon amour,2500.0,5000.0,1,1,0497070018018M,18M,0
calza mon amour - gris melange,2500.0,5000.0,1,1,0497070090018M,18M,0
"pantalon pequeño amor - negro ",2500.0,5000.0,0,1,pantalon pequeño amor - negro -2500-5000-18M-1,18M,0
pantalon pajarito y nubes - gris,2500.0,5000.0,1,1,pantalon pajarito y nubes - gris-2500-5000-18M-1,18M,0
"pantalon cresta - blanco ",2500.0,5000.0,1,1,pantalon cresta - blanco -2500-5000-18M-1,18M,0
pantalon cresta - verde,2500.0,5000.0,1,1,pantalon cresta - verde-2500-5000-18M-1,18M,0
pantalon lana minianima - gris,3500.0,7000.0,1,1,pantalon lana minianima - gris-3500-7000-18M-1,18M,0
"pantalon lana minianima - celeste ",3500.0,7000.0,1,1,pantalon lana minianima - celeste -3500-7000-18M-1,18M,0
pantalon leonel - marino,2700.0,5300.0,1,1,0414630125018M,18M,0
calza ardilla - beige,3000.0,6000.0,1,1,0400350042018M,18M,0
calza ardilla - rosa bebe,3000.0,6000.0,1,1,0400350010018M,18M,0
calza bambi - rosa bebe,3000.0,6000.0,1,1,0400740010018M,18M,0
"pantalon milena - topo ",3500.0,7000.0,1,1,0434860094018M,18M,0
pantalon leonel - gris melange,2700.0,5300.0,1,1,0414630190018M,18M,0
pantalon lanilla - negro,2500.0,5000.0,1,1,pantalon lanilla - negro-2500-5000-18M-1,18M,0
pantalon lanilla - marron,2500.0,5000.0,1,1,pantalon lanilla - marron-2500-5000-18M-1,18M,0
pantalon lanilla - verde,2500.0,5000.0,1,1,pantalon lanilla - verde-2500-5000-18M-1,18M,0
"pantalon puntilla bolsillas - rosa ",3000.0,6000.0,1,1,pantalon puntilla bolsillas - rosa -3000-6000-18M-1,18M,0
pantalon estrella - beige,4000.0,8000.0,1,1,0404600042018M,18M,0
"buzo animalitos - celeste ",3000.0,6000.0,1,1,buzo animalitos - celeste -3000-6000-18M-1,18M,0
buzo Rapunzel - beige,3000.0,6000.0,1,1,0517050142018M,18M,0
campera abrigo I.M. - rosa,6000.0,12000.0,1,1,campera abrigo I.M. - rosa-6000-12000-18M-1,18M,0
buzo antonia - rosa bebe,3000.0,6000.0,1,1,buzo antonia - rosa bebe-3000-6000-18M-1,18M,0
"campera florcitas - blanco ",3000.0,6000.0,1,1,campera florcitas - blanco -3000-6000-18M-1,18M,0
campera salos flores - crudo,2500.0,5000.0,1,1,campera salos flores - crudo-2500-5000-18M-1,18M,0
"buzo capucha flores - crudo ",2500.0,5000.0,1,1,buzo capucha flores - crudo -2500-5000-18M-1,18M,0
campera animalitos - bordo,5300.0,10300.0,1,1,campera animalitos - bordo-5300-10300-18M-1,18M,0
"campera lisa - celeste ",2000.0,4000.0,1,1,campera lisa - celeste -2000-4000-18M-1,18M,0
campera dinosaurio - negro,3000.0,6000.0,1,1,campera dinosaurio - negro-3000-6000-18M-1,18M,0
body Ismael - marino,3000.0,6000.0,1,1,0054010125024M,24M,0
